"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2015","2,117.70","2,112.80","2,120.90","2,112.80","","0.23%"
"04/23/2015","2,112.90","2,107.20","2,120.50","2,103.20","","0.23%"
"04/22/2015","2,108.00","2,098.30","2,110.00","2,091.10","","0.51%"
"04/21/2015","2,097.30","2,102.80","2,109.60","2,094.40","","-0.15%"
"04/20/2015","2,100.40","2,084.10","2,103.90","2,084.10","","0.92%"
"04/17/2015","2,081.20","2,102.60","2,102.60","2,072.40","","-1.13%"
"04/16/2015","2,105.00","2,106.00","2,111.30","2,100.00","","-0.08%"
"04/15/2015","2,106.60","2,097.80","2,111.90","2,097.80","","0.52%"
"04/14/2015","2,095.80","2,092.30","2,098.60","2,083.20","","0.16%"
"04/13/2015","2,092.40","2,102.00","2,107.70","2,092.30","","-0.46%"
"04/10/2015","2,102.10","2,091.50","2,102.60","2,091.50","","0.52%"
"04/09/2015","2,091.20","2,081.30","2,093.30","2,074.30","","0.45%"
"04/08/2015","2,081.90","2,076.90","2,086.70","2,073.30","","0.27%"
"04/07/2015","2,076.30","2,080.80","2,089.80","2,076.10","","-0.21%"
"04/06/2015","2,080.60","2,064.90","2,087.00","2,056.50","","0.66%"
"04/02/2015","2,067.00","2,060.00","2,072.20","2,057.30","","0.35%"
"04/01/2015","2,059.70","2,067.60","2,067.60","2,048.40","","-0.40%"
"03/31/2015","2,067.90","2,084.10","2,084.10","2,067.00","","-0.88%"
"03/30/2015","2,086.20","2,064.10","2,089.00","2,064.10","","1.22%"
"03/27/2015","2,061.00","2,055.80","2,062.80","2,053.00","","0.23%"
"03/26/2015","2,056.20","2,059.90","2,067.20","2,045.50","","-0.24%"
"03/25/2015","2,061.10","2,093.10","2,097.40","2,061.10","","-1.45%"
"03/24/2015","2,091.50","2,103.90","2,107.60","2,091.50","","-0.61%"
"03/23/2015","2,104.40","2,108.00","2,114.90","2,104.40","","-0.18%"
"03/20/2015","2,108.10","2,090.30","2,113.90","2,090.30","","0.90%"
